"","X1.x","sampledate","depth.x","o2.x","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite","Genus","Transect Cell Count","Magnification","Biovolume","CellBioVol","PerBioVol","# of Transects","Cell Count per cm2","Transect Length (cm)","Start XY","Taxa","WaterCol","Functional","X15","X16","X17","X18","X19","End XY","Notes","Field of View scope","Field of View #","Total Cell Count","Estimated Total","Estimated Mucilage Percent Coverage","X1.y","lakeid","year4","group","depth.y","ph","alk","dic","tic","doc","toc","no3no2","no2","nh4","o2.y","totnf","totnuf","totpf","totpuf","drsif"
"69",406,2002-04-23,0,11.7,671,335.9,0.501,NA,NA,NA,NA,NA,0.500596125186289,"TotalBiovolume",NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7720,"SP",2002,"iceoff",0,7.28,611,"8.66","8.96","2.91","2.92",62,NA,43,11.7,"297","307",11,18,1860
"70",407,2002-04-23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7720,"SP",2002,"iceoff",0,7.28,611,"8.66","8.96","2.91","2.92",62,NA,43,11.7,"297","307",11,18,1860
"71",406,2002-04-23,0,11.7,671,335.9,0.501,NA,NA,NA,NA,NA,0.500596125186289,"TotalBiovolume",NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7721,"SP",2002,"iceoff",0,7.29,634,"8.73","8.97","3.01","2.91",59,NA,33,NA,"302","311",11,21,2877
"72",407,2002-04-23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7721,"SP",2002,"iceoff",0,7.29,634,"8.73","8.97","3.01","2.91",59,NA,33,NA,"302","311",11,21,2877
"73",406,2002-04-23,0,11.7,671,335.9,0.501,NA,NA,NA,NA,NA,0.500596125186289,"TotalBiovolume",NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7722,"SP",2002,"iceoff",0,7.28,611,"8.66","8.96","2.91","2.92",62,NA,43,NA,"297","307",11,18,1860
"74",407,2002-04-23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7722,"SP",2002,"iceoff",0,7.28,611,"8.66","8.96","2.91","2.92",62,NA,43,NA,"297","307",11,18,1860
"75",411,2002-06-19,0,9.1,679,371.3,0.547,NA,NA,NA,NA,NA,0.546833578792342,"TotalBiovolume",NA,NA,NA,114042.3605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some sort of bluegreen in the family Chroococolaes.  Same as ?17",NA,NA,NA,NA,NA,7803,"SP",2002,"iceoff",0,7.97,NA,"8.09","8.06","3.4","3.6",2,NA,12,9.1,"267","302",6,7,2510
"76",413,2002-07-17,0,7.9,985,607.3,0.617,NA,NA,NA,NA,NA,0.616548223350254,"TotalBiovolume",NA,NA,NA,72801.22226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7845,"SP",2002,"iceoff",0,8.11,NA,"8.33","8.36","3.45","3.39",11,NA,5,7.9,"111","126",5,6,2455
"77",415,2002-08-14,0,8.3,1883,1249,0.663,NA,NA,NA,NA,NA,0.663303239511418,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7887,"SP",2002,"iceoff",0,8.42,655,"8.32","8.48","3.75","3.79",3,NA,9,8.3,"268","290",3,9,2428
"78",416,2002-08-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7887,"SP",2002,"iceoff",0,8.42,655,"8.32","8.48","3.75","3.79",3,NA,9,8.3,"268","290",3,9,2428
"79",415,2002-08-14,0,8.3,1883,1249,0.663,NA,NA,NA,NA,NA,0.663303239511418,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7888,"SP",2002,"iceoff",0,8.37,650,"8.35","8.48","3.67","3.54",0,NA,9,8.3,"227","243",3,6,2428
"80",416,2002-08-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7888,"SP",2002,"iceoff",0,8.37,650,"8.35","8.48","3.67","3.54",0,NA,9,8.3,"227","243",3,6,2428
"81",415,2002-08-14,0,8.3,1883,1249,0.663,NA,NA,NA,NA,NA,0.663303239511418,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7889,"SP",2002,"iceoff",0,8.42,655,"8.32","8.48","3.75","3.79",3,NA,9,NA,"268","290",3,9,2428
"82",416,2002-08-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7889,"SP",2002,"iceoff",0,8.42,655,"8.32","8.48","3.75","3.79",3,NA,9,NA,"268","290",3,9,2428
"83",415,2002-08-14,0,8.3,1883,1249,0.663,NA,NA,NA,NA,NA,0.663303239511418,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7890,"SP",2002,"iceoff",0,8.37,650,"8.35","8.48","3.67","3.54",0,NA,9,NA,"227","243",3,6,2428
"84",416,2002-08-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7890,"SP",2002,"iceoff",0,8.37,650,"8.35","8.48","3.67","3.54",0,NA,9,NA,"227","243",3,6,2428
"85",423,2002-11-07,0,10,435,234.5,0.539,NA,NA,NA,NA,NA,0.539080459770115,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8013,"SP",2002,"iceoff",0,7.39,665,"8.66","8.73","3.27","3.12",7,NA,43,10,"222","256",5,13,3131
"86",424,2002-11-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8013,"SP",2002,"iceoff",0,7.39,665,"8.66","8.73","3.27","3.12",7,NA,43,10,"222","256",5,13,3131
"87",423,2002-11-07,0,10,435,234.5,0.539,NA,NA,NA,NA,NA,0.539080459770115,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8014,"SP",2002,"iceoff",0,7.4,661,"8.66","8.74","3.28","3.16",3,NA,30,10,"218","256",4,10,3067
"88",424,2002-11-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8014,"SP",2002,"iceoff",0,7.4,661,"8.66","8.74","3.28","3.16",3,NA,30,10,"218","256",4,10,3067
"89",423,2002-11-07,0,10,435,234.5,0.539,NA,NA,NA,NA,NA,0.539080459770115,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8015,"SP",2002,"iceoff",0,7.39,665,"8.66","8.73","3.27","3.12",7,NA,43,NA,"222","256",5,13,3131
"90",424,2002-11-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8015,"SP",2002,"iceoff",0,7.39,665,"8.66","8.73","3.27","3.12",7,NA,43,NA,"222","256",5,13,3131
"91",423,2002-11-07,0,10,435,234.5,0.539,NA,NA,NA,NA,NA,0.539080459770115,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8016,"SP",2002,"iceoff",0,7.4,661,"8.66","8.74","3.28","3.16",3,NA,30,NA,"218","256",4,10,3067
"92",424,2002-11-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8016,"SP",2002,"iceoff",0,7.4,661,"8.66","8.74","3.28","3.16",3,NA,30,NA,"218","256",4,10,3067
"93",426,2003-03-06,0,14.2,1236,13.97,0.011,17.5,61,0,0.238,61,0.0113025889967638,"TotalBiovolume",NA,NA,NA,39769.15413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8057,"SP",2003,"iceon",0,7.7,763,"10.32","10.71","4.08","4.14",33,NA,149,14.2,"379","312",7,10,2904
"94",429,2003-04-29,0,12,642,428.1,0.667,NA,NA,NA,NA,NA,0.666822429906542,"TotalBiovolume",NA,NA,NA,69635.17216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8101,"SP",2003,"iceoff",0,7.5,640,"8.61","8.81","3.24","3.13",7,NA,36,12,"401","428",9,10,2603
"95",434,2003-06-23,0,8.8,288,155.6,0.54,NA,NA,NA,NA,NA,0.540277777777778,"TotalBiovolume",NA,NA,NA,53497.5692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8185,"SP",2003,"iceoff",0,7.99,NA,"7.94","8.02","3.94","3.97",3,NA,14,8.8,"184","256",3,4,2318
"96",436,2003-07-21,0,8.5,625,361.4,0.578,NA,NA,NA,NA,NA,0.57824,"TotalBiovolume",NA,NA,NA,76879.44305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8228,"SP",2003,"iceoff",0,7.94,NA,"8.26","8.32","3.61","3.54",1,NA,7,8.5,"172","195",2,3,2106
"97",438,2003-08-20,0,8,745,399.6,0.536,NA,NA,NA,NA,NA,0.536375838926175,"TotalBiovolume",NA,NA,NA,70854.36054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8270,"SP",2003,"iceoff",0,8.33,643,"8.35","8.35","3.97","3.79",0,NA,11,8,"186","213",3,4,1890
"98",444,2003-11-13,0,10.5,544,272.6,0.501,NA,NA,NA,NA,NA,0.501102941176471,"TotalBiovolume",NA,NA,NA,102362.2103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8396,"SP",2003,"iceoff",0,7.26,672,"7.33","6.92","5.27","5.54",3,NA,25,10.5,"306","258",3,7,2569
"99",447,2004-02-18,0,12.8,906,0,0,29.7,42,7,NA,35,0,"TotalBiovolume",NA,NA,NA,9708.792357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8440,"SP",2004,"iceon",0,7.39,733,"10.06","10.01","3.39","3.33",33,NA,37,12.8,"282","296",3,7,2956
"100",449,2004-04-30,0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,124704.1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8484,"SP",2004,"iceoff",0,7.47,637,"8.78","8.94","3.19","3.2",57,NA,13,11.2,"334","325",11,10,2841
"101",453,2004-06-22,0,9.4,573,269.6,0.471,NA,NA,NA,NA,NA,0.470506108202443,"TotalBiovolume",NA,NA,NA,80990.95401,NA,NA,NA,NA,"94.9, 38.1",NA,NA,NA,NA,NA,NA,NA,NA,"111.7, 38.1",NA,"Full",NA,NA,NA,NA,8568,"SP",2004,"iceoff",0,8.13,NA,"8.21","8.31","3.55","3.47",1,NA,39,9.4,"239","239",1,5,2405
"102",455,2004-07-21,0,8.7,224,145.6,0.65,NA,NA,NA,NA,NA,0.65,"TotalBiovolume",NA,NA,NA,38911.84667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8610,"SP",2004,"iceoff",0,7.96,NA,"8.43","8.37","3.82","3.53",1,NA,20,8.7,"201","234",1,3,2519
"103",457,2004-08-16,0,8.9,650,562.5,0.865,NA,NA,NA,NA,NA,0.865384615384615,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8652,"SP",2004,"iceoff",0,8.25,642,"8.28","8.2","3.65","3.65",0,NA,47,8.9,"221","211",2,5,2461
"104",458,2004-08-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8652,"SP",2004,"iceoff",0,8.25,642,"8.28","8.2","3.65","3.65",0,NA,47,8.9,"221","211",2,5,2461
"105",457,2004-08-16,0,8.9,650,562.5,0.865,NA,NA,NA,NA,NA,0.865384615384615,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8653,"SP",2004,"iceoff",0,8.15,680,"8.15","8.2","3.59","3.52",1,NA,40,8.9,"226","191",4,6,2461
"106",458,2004-08-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8653,"SP",2004,"iceoff",0,8.15,680,"8.15","8.2","3.59","3.52",1,NA,40,8.9,"226","191",4,6,2461
"107",457,2004-08-16,0,8.9,650,562.5,0.865,NA,NA,NA,NA,NA,0.865384615384615,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8654,"SP",2004,"iceoff",0,8.25,642,"8.28","8.2","3.65","3.65",0,NA,47,NA,"221","211",2,5,2461
"108",458,2004-08-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8654,"SP",2004,"iceoff",0,8.25,642,"8.28","8.2","3.65","3.65",0,NA,47,NA,"221","211",2,5,2461
"109",457,2004-08-16,0,8.9,650,562.5,0.865,NA,NA,NA,NA,NA,0.865384615384615,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8655,"SP",2004,"iceoff",0,8.15,680,"8.15","8.2","3.59","3.52",1,NA,40,NA,"226","191",4,6,2461
"110",458,2004-08-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8655,"SP",2004,"iceoff",0,8.15,680,"8.15","8.2","3.59","3.52",1,NA,40,NA,"226","191",4,6,2461
"111",464,2004-11-10,0,9.8,31,21.39,0.69,NA,NA,NA,NA,NA,0.69,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8775,"SP",2004,"iceoff",0,7.41,652,"8.55","8.7","3.14","3.12",12,NA,55,9.8,"177","226",3,8,2783
"112",465,2004-11-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8775,"SP",2004,"iceoff",0,7.41,652,"8.55","8.7","3.14","3.12",12,NA,55,9.8,"177","226",3,8,2783
"113",464,2004-11-10,0,9.8,31,21.39,0.69,NA,NA,NA,NA,NA,0.69,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8776,"SP",2004,"iceoff",0,7.41,636,"8.51","8.68","3.04","3.08",6,NA,22,9.8,"205","237",4,8,2783
"114",465,2004-11-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8776,"SP",2004,"iceoff",0,7.41,636,"8.51","8.68","3.04","3.08",6,NA,22,9.8,"205","237",4,8,2783
"115",464,2004-11-10,0,9.8,31,21.39,0.69,NA,NA,NA,NA,NA,0.69,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8777,"SP",2004,"iceoff",0,7.41,652,"8.55","8.7","3.14","3.12",12,NA,55,NA,"177","226",3,8,2783
"116",465,2004-11-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8777,"SP",2004,"iceoff",0,7.41,652,"8.55","8.7","3.14","3.12",12,NA,55,NA,"177","226",3,8,2783
"117",464,2004-11-10,0,9.8,31,21.39,0.69,NA,NA,NA,NA,NA,0.69,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8778,"SP",2004,"iceoff",0,7.41,636,"8.51","8.68","3.04","3.08",6,NA,22,NA,"205","237",4,8,2783
"118",465,2004-11-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8778,"SP",2004,"iceoff",0,7.41,636,"8.51","8.68","3.04","3.08",6,NA,22,NA,"205","237",4,8,2783
"119",469,2005-04-20,0,12.2,381,290.53,0.763,NA,NA,NA,NA,NA,0.76254593175853,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8862,"SP",2005,"iceoff",0,7.65,620,"8.29","8.47","3.04","2.98",2,NA,5,12.2,"167","201",3,7,2943
"120",470,2005-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8862,"SP",2005,"iceoff",0,7.65,620,"8.29","8.47","3.04","2.98",2,NA,5,12.2,"167","201",3,7,2943
"121",469,2005-04-20,0,12.2,381,290.53,0.763,NA,NA,NA,NA,NA,0.76254593175853,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8863,"SP",2005,"iceoff",0,7.65,616,"8.31",NA,"3.02",NA,3,NA,10,12.2,"197","197",3,7,2866
"122",470,2005-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8863,"SP",2005,"iceoff",0,7.65,616,"8.31",NA,"3.02",NA,3,NA,10,12.2,"197","197",3,7,2866
"123",469,2005-04-20,0,12.2,381,290.53,0.763,NA,NA,NA,NA,NA,0.76254593175853,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8864,"SP",2005,"iceoff",0,7.65,620,"8.29","8.47","3.04","2.98",2,NA,5,NA,"167","201",3,7,2943
"124",470,2005-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8864,"SP",2005,"iceoff",0,7.65,620,"8.29","8.47","3.04","2.98",2,NA,5,NA,"167","201",3,7,2943
"125",469,2005-04-20,0,12.2,381,290.53,0.763,NA,NA,NA,NA,NA,0.76254593175853,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8865,"SP",2005,"iceoff",0,7.65,616,"8.31",NA,"3.02",NA,3,NA,10,NA,"197","197",3,7,2866
"126",470,2005-04-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8865,"SP",2005,"iceoff",0,7.65,616,"8.31",NA,"3.02",NA,3,NA,10,NA,"197","197",3,7,2866
"127",474,2005-06-13,0,8.8,586,447.62,0.764,NA,NA,NA,NA,NA,0.763856655290102,"TotalBiovolume",NA,NA,NA,112841.9249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8947,"SP",2005,"iceoff",0,7.98,NA,"9.1","9.21","3.64","3.67",2,NA,26,8.8,"210","208",2,3,2712
"128",476,2005-07-12,0,8.6,2026,1600.7,0.79,NA,NA,NA,NA,NA,0.790078973346496,"TotalBiovolume",NA,NA,NA,66524.46203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8987,"SP",2005,"iceoff",0,8.2,NA,"8.72","8.74","3.6","3.39",4,NA,68,8.6,"210","198",4,2,2556
"129",478,2005-08-09,0,8.6,468,342.45,0.732,NA,NA,NA,NA,NA,0.731730769230769,"TotalBiovolume",NA,NA,NA,36120.08981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9027,"SP",2005,"iceoff",0,8.25,637,"8.58","8.66","3.52","3.62",2,NA,9,8.6,"185","248",2,4,2723
"130",484,2005-11-15,0,9.2,143,104.86,0.733,NA,NA,NA,NA,NA,0.733286713286713,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9149,"SP",2005,"iceoff",0,7.4,669,"9.06","9.33","3.45","3.53",2,NA,20,9.2,"207","256",6,10,2933
"131",485,2005-11-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9149,"SP",2005,"iceoff",0,7.4,669,"9.06","9.33","3.45","3.53",2,NA,20,9.2,"207","256",6,10,2933
"132",484,2005-11-15,0,9.2,143,104.86,0.733,NA,NA,NA,NA,NA,0.733286713286713,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9150,"SP",2005,"iceoff",0,7.42,669,"9.12","9.23","3.16","3.08",2,NA,21,9.2,"191","255",4,10,2793
"133",485,2005-11-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9150,"SP",2005,"iceoff",0,7.42,669,"9.12","9.23","3.16","3.08",2,NA,21,9.2,"191","255",4,10,2793
"134",484,2005-11-15,0,9.2,143,104.86,0.733,NA,NA,NA,NA,NA,0.733286713286713,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9151,"SP",2005,"iceoff",0,7.4,669,"9.06","9.33","3.45","3.53",2,NA,20,NA,"207","256",6,10,2933
"135",485,2005-11-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9151,"SP",2005,"iceoff",0,7.4,669,"9.06","9.33","3.45","3.53",2,NA,20,NA,"207","256",6,10,2933
"136",484,2005-11-15,0,9.2,143,104.86,0.733,NA,NA,NA,NA,NA,0.733286713286713,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9152,"SP",2005,"iceoff",0,7.42,669,"9.12","9.23","3.16","3.08",2,NA,21,NA,"191","255",4,10,2793
"137",485,2005-11-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9152,"SP",2005,"iceoff",0,7.42,669,"9.12","9.23","3.16","3.08",2,NA,21,NA,"191","255",4,10,2793
