"","sampledate","depth","o2","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite"
"299","09/05/1996",0,8.2,617,430,0.697,NA,NA,NA,NA,NA,0.696920583468395
"300","09/18/1996",0,9.3,629,569.6,0.906,NA,NA,NA,NA,NA,0.905564387917329
"301","09/30/1996",0,9.5,1317,1084,0.823,NA,NA,NA,NA,NA,0.823082763857251
"302","10/15/1996",0,9.9,972,798,0.821,NA,NA,NA,NA,NA,0.820987654320988
"303","11/06/1996",0,9.3,115,103.4,0.899,NA,NA,NA,NA,NA,0.899130434782609
"304","01/14/1997",0,12,NA,NA,NA,11,37,26,NA,11,NA
"305","02/17/1997",0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA
"306","03/25/1997",0,12.1,602,0,0,31,44,31,NA,13,0
"307","05/06/1997",0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742738589212
"308","05/21/1997",0,11.4,1742,1818,NA,NA,NA,NA,NA,NA,1.04362801377727
"309","06/04/1997",0,9.5,934,934,1,NA,NA,NA,NA,NA,1
"310","06/18/1997",0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758212878
"311","07/01/1997",0,8.5,1904,1814,0.953,NA,NA,NA,NA,NA,0.952731092436975
"312","07/17/1997",0,8,294,179.5,0.611,NA,NA,NA,NA,NA,0.610544217687075
"313","07/29/1997",0,8.1,1606,1620,NA,NA,NA,NA,NA,NA,1.00871731008717
"314","08/13/1997",0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","08/28/1997",0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.80187265917603
"316","09/09/1997",0,9,564,402.3,0.713,NA,NA,NA,NA,NA,0.713297872340426
"317","09/24/1997",0,9.1,712,860,NA,NA,NA,NA,NA,NA,1.20786516853933
"318","10/07/1997",0,9.1,532,419.4,0.788,NA,NA,NA,NA,NA,0.788345864661654
"319","10/24/1997",0,9.7,566,423.4,0.748,NA,NA,NA,NA,NA,0.748056537102473
"320","11/10/1997",0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661971830986
"321","01/12/1998",0,19.7,166,0,0,17.5,26,0,NA,26,0
"322","02/23/1998",0,14,275,148,0.538,0,35,11,"0.359",24,0.538181818181818
"323","03/18/1998",0,17,297,2.02,0.007,8.5,37,8,NA,29,0.0068013468013468
"324","04/20/1998",0,11.6,1336,1083,0.811,NA,NA,NA,NA,NA,0.81062874251497
"325","05/05/1998",0,10.7,1127,1057,0.938,NA,NA,NA,NA,NA,0.937888198757764
"326","05/19/1998",0,9.5,1572,1275,0.811,NA,NA,NA,NA,NA,0.811068702290076
"327","06/01/1998",0,8.9,1064,805,0.757,NA,NA,NA,NA,NA,0.756578947368421
"328","06/15/1998",0,9.5,1359,1118,0.823,NA,NA,NA,NA,NA,0.822663723325975
"329","06/29/1998",0,8.2,1965,1609,0.819,NA,NA,NA,NA,NA,0.81882951653944
"330","07/14/1998",0,8.3,1754,1642,0.936,NA,NA,NA,NA,NA,0.936145952109464
"331","07/27/1998",0,9.2,1293,797,0.616,NA,NA,NA,NA,NA,0.616395978344934
"332","08/12/1998",0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148148148
"333","08/12/1998",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","08/26/1998",0,8.4,1805,1452,0.804,NA,NA,NA,NA,NA,0.804432132963989
"335","09/09/1998",0,8.5,1553,1186,0.764,NA,NA,NA,NA,NA,0.763683193818416
"336","09/24/1998",0,8.7,90,50.88,0.565,NA,NA,NA,NA,NA,0.565333333333333
"337","10/06/1998",0,9.5,937,701,0.748,NA,NA,NA,NA,NA,0.748132337246531
"338","10/06/1998",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","10/20/1998",0,9.6,234,124.8,0.533,NA,NA,NA,NA,NA,0.533333333333333
"340","11/12/1998",0,9.2,815,464.2,0.57,NA,NA,NA,NA,NA,0.569570552147239
"341","01/18/1999",0,13.6,220,0,0,22.9,26,0,NA,26,0
"342","02/23/1999",0,13.2,1262,9.66,0.008,9,41,14,NA,27,0.00765451664025357
"343","03/24/1999",0,15.8,1371,137.8,0.101,1,53,17,"0.418",36,0.100510576221736
"344","05/04/1999",0,12.2,1585,1104,0.697,NA,NA,NA,NA,NA,0.696529968454259
"345","05/20/1999",0,10.4,421,265.73,0.631,NA,NA,NA,NA,NA,0.631187648456057
"346","06/02/1999",0,9.4,509,301.81,0.593,NA,NA,NA,NA,NA,0.59294695481336
"347","06/16/1999",0,8.4,716,410.47,0.573,NA,NA,NA,NA,NA,0.573282122905028
"348","07/01/1999",0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103151862464
"349","07/01/1999",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","07/15/1999",0,8.3,1236,961.2,0.778,NA,NA,NA,NA,NA,0.777669902912621
"351","07/28/1999",0,7.8,1781,1298,0.729,NA,NA,NA,NA,NA,0.728804042672656
"352","08/10/1999",0,8.1,491,275.76,0.562,NA,NA,NA,NA,NA,0.56162932790224
"353","08/10/1999",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","08/23/1999",0,8,424,274.56,0.648,NA,NA,NA,NA,NA,0.647547169811321
"355","09/09/1999",0,9,324,173.76,0.536,NA,NA,NA,NA,NA,0.536296296296296
"356","09/23/1999",0,9.1,977,751.06,0.769,NA,NA,NA,NA,NA,0.768741044012282
"357","10/08/1999",0,9.6,95,51.77,0.545,NA,NA,NA,NA,NA,0.544947368421053
"358","10/19/1999",0,10.2,133,69.83,0.525,NA,NA,NA,NA,NA,0.525037593984962
"359","11/10/1999",0,11.6,62,30.19,0.487,NA,NA,NA,NA,NA,0.486935483870968
"360","01/18/2000",0,11.5,826,4.8,0.006,18.9,27.5,0.5,NA,27,0.00581113801452784
"361","02/22/2000",0,14.4,690,2.65,0.004,27.6,36,2,NA,34,0.00384057971014493
"362","04/06/2000",0,11.7,511,281.7,0.551,NA,NA,NA,NA,NA,0.551272015655577
"363","04/18/2000",0,12.2,615,368.6,0.599,NA,NA,NA,NA,NA,0.599349593495935
"364","05/02/2000",0,12.2,849,494.9,0.583,NA,NA,NA,NA,NA,0.582921083627797
"365","05/02/2000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","05/17/2000",0,10.3,719,410.5,0.571,NA,NA,NA,NA,NA,0.570931849791377
"367","05/30/2000",0,9.7,271,152.4,0.562,NA,NA,NA,NA,NA,0.562361623616236
"368","06/13/2000",0,9.3,602,383.9,0.638,NA,NA,NA,NA,NA,0.637707641196013
"369","06/13/2000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","06/27/2000",0,9,395,247.4,0.626,NA,NA,NA,NA,NA,0.626329113924051
"371","06/27/2000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","07/12/2000",0,8.9,144,84.4,0.586,NA,NA,NA,NA,NA,0.586111111111111
"373","07/26/2000",0,8.3,492,249.3,0.507,NA,NA,NA,NA,NA,0.506707317073171
"374","08/08/2000",0,8.3,37,21.45,0.58,NA,NA,NA,NA,NA,0.57972972972973
"375","08/21/2000",0,8.8,1486,855,0.575,NA,NA,NA,NA,NA,0.575370121130552
"376","09/06/2000",0,8.6,1146,756,0.66,NA,NA,NA,NA,NA,0.659685863874346
"377","09/18/2000",0,9.2,1425,851,0.597,NA,NA,NA,NA,NA,0.59719298245614
"378","10/03/2000",0,9.8,316,204.2,0.646,NA,NA,NA,NA,NA,0.64620253164557
"379","10/17/2000",0,10.5,810,452.7,0.559,NA,NA,NA,NA,NA,0.558888888888889
"380","11/01/2000",0,10.3,112,73.2,0.654,NA,NA,NA,NA,NA,0.653571428571429
"381","11/16/2000",0,10.2,198,123.5,0.624,NA,NA,NA,NA,NA,0.623737373737374
"382","01/22/2001",0,13.5,810,10.43,0.013,20.7,32,10,"0.309",22,0.0128765432098765
"383","02/28/2001",0,12.5,810,5.93,0.007,NA,NA,NA,NA,NA,0.00732098765432099
"384","02/28/2001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","04/03/2001",0,12.9,1178,126.8,0.108,2.2,45,32,"0.232",13,0.107640067911715
"386","04/30/2001",0,12.7,1698,1157,0.681,NA,NA,NA,NA,NA,0.681389870435807
"387","04/30/2001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","05/14/2001",0,10.8,1748,1243,0.711,NA,NA,NA,NA,NA,0.711098398169336
"389","05/29/2001",0,9.7,1564,1035,0.662,NA,NA,NA,NA,NA,0.661764705882353
"390","06/11/2001",0,10.1,1744,1267,0.726,NA,NA,NA,NA,NA,0.726490825688073
"391","06/26/2001",0,10,1755,1285,0.732,NA,NA,NA,NA,NA,0.732193732193732
"392","07/09/2001",0,8.7,553,359.3,0.65,NA,NA,NA,NA,NA,0.649728752260398
"393","07/24/2001",0,8.4,1339,905,0.676,NA,NA,NA,NA,NA,0.675877520537715
"394","08/06/2001",0,8.2,322,182.1,0.566,NA,NA,NA,NA,NA,0.565527950310559
"395","08/20/2001",0,8.4,671,435,0.648,NA,NA,NA,NA,NA,0.648286140089419
"396","08/20/2001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","09/04/2001",0,8.9,1663,1127,0.678,NA,NA,NA,NA,NA,0.677690920024053
"398","09/18/2001",0,9.2,468,220.8,0.472,NA,NA,NA,NA,NA,0.471794871794872
"399","10/02/2001",0,9.8,337,188,0.558,NA,NA,NA,NA,NA,0.55786350148368
"400","10/15/2001",0,9.9,264,132.9,0.503,NA,NA,NA,NA,NA,0.503409090909091
"401","10/29/2001",0,10.4,491,220.4,0.449,NA,NA,NA,NA,NA,0.44887983706721
"402","11/15/2001",0,10.5,214,95.2,0.445,NA,NA,NA,NA,NA,0.444859813084112
"403","01/16/2002",0,14.8,446,20.4,0.046,5.1,16.5,4,"0.416",12.5,0.0457399103139013
"404","02/28/2002",0,15.4,622,35.5,0.057,1.6,38,11,"0.267",27,0.0570739549839228
"405","04/01/2002",0,16,1647,10.42,0.006,15,54,21,"0.189",33,0.00632665452337583
"406","04/23/2002",0,11.7,671,335.9,0.501,NA,NA,NA,NA,NA,0.500596125186289
"407","04/23/2002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","05/07/2002",0,12,844,480.2,0.569,NA,NA,NA,NA,NA,0.568957345971564
"409","05/22/2002",0,13.2,1750,1193,0.682,NA,NA,NA,NA,NA,0.681714285714286
"410","06/05/2002",0,9.9,1907,1248,0.654,NA,NA,NA,NA,NA,0.65443104352386
"411","06/19/2002",0,9.1,679,371.3,0.547,NA,NA,NA,NA,NA,0.546833578792342
"412","07/03/2002",0,8,432,245.3,0.568,NA,NA,NA,NA,NA,0.567824074074074
"413","07/17/2002",0,7.9,985,607.3,0.617,NA,NA,NA,NA,NA,0.616548223350254
"414","07/30/2002",0,8.4,1161,828,0.713,NA,NA,NA,NA,NA,0.713178294573643
"415","08/14/2002",0,8.3,1883,1249,0.663,NA,NA,NA,NA,NA,0.663303239511418
"416","08/14/2002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","08/29/2002",0,8.7,786,507.1,0.645,NA,NA,NA,NA,NA,0.645165394402036
"418","09/12/2002",0,8.8,510,232.2,0.455,NA,NA,NA,NA,NA,0.455294117647059
"419","09/12/2002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","09/26/2002",0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","10/09/2002",0,9.9,357,219.8,0.616,NA,NA,NA,NA,NA,0.615686274509804
"422","10/24/2002",0,9.7,344,285.9,0.831,NA,NA,NA,NA,NA,0.831104651162791
"423","11/07/2002",0,10,435,234.5,0.539,NA,NA,NA,NA,NA,0.539080459770115
"424","11/07/2002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","01/15/2003",0,16.1,NA,NA,NA,1,45,0,NA,45,NA
"426","03/06/2003",0,14.2,1236,13.97,0.011,17.5,61,0,"0.238",61,0.0113025889967638
"427","04/02/2003",0,10.8,294,17.54,0.06,7.5,48,0,"0.411",48,0.0596598639455782
"428","04/02/2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","04/29/2003",0,12,642,428.1,0.667,NA,NA,NA,NA,NA,0.666822429906542
"430","05/14/2003",0,11.1,1309,960,0.733,NA,NA,NA,NA,NA,0.733384262796028
"431","05/30/2003",0,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","05/30/2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","06/09/2003",0,9.4,1238,738,0.596,NA,NA,NA,NA,NA,0.596122778675283
"434","06/23/2003",0,8.8,288,155.6,0.54,NA,NA,NA,NA,NA,0.540277777777778
"435","07/07/2003",0,8.5,2400,1648,0.687,NA,NA,NA,NA,NA,0.686666666666667
"436","07/21/2003",0,8.5,625,361.4,0.578,NA,NA,NA,NA,NA,0.57824
"437","08/04/2003",0,8.6,1652,1246,0.754,NA,NA,NA,NA,NA,0.754237288135593
"438","08/20/2003",0,8,745,399.6,0.536,NA,NA,NA,NA,NA,0.536375838926175
"439","09/03/2003",0,8.5,574,361.9,0.63,NA,NA,NA,NA,NA,0.630487804878049
"440","09/16/2003",0,8.6,1125,751,0.668,NA,NA,NA,NA,NA,0.667555555555556
"441","10/01/2003",0,9.3,312,129.5,0.415,NA,NA,NA,NA,NA,0.415064102564103
"442","10/14/2003",0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","10/28/2003",0,9.1,123,53.83,0.438,NA,NA,NA,NA,NA,0.437642276422764
"444","11/13/2003",0,10.5,544,272.6,0.501,NA,NA,NA,NA,NA,0.501102941176471
"445","01/12/2004",0,13.6,134,4.49,0.034,10,37,8,NA,29,0.0335074626865672
"446","01/12/2004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","02/18/2004",0,12.8,906,0,0,29.7,42,7,NA,35,0
"448","04/07/2004",0,11.3,937,417.4,0.445,0,39,6,"0.25",33,0.445464247598719
"449","04/30/2004",0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","05/10/2004",0,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","05/24/2004",0,10.8,523,310.1,0.593,NA,NA,NA,NA,NA,0.592925430210325
"452","06/07/2004",0,11,2075,1049,0.506,NA,NA,NA,NA,NA,0.505542168674699
"453","06/22/2004",0,9.4,573,269.6,0.471,NA,NA,NA,NA,NA,0.470506108202443
"454","07/06/2004",0,8.6,260,134.9,0.519,NA,NA,NA,NA,NA,0.518846153846154
"455","07/21/2004",0,8.7,224,145.6,0.65,NA,NA,NA,NA,NA,0.65
"456","08/02/2004",0,8.3,523,365.7,0.699,NA,NA,NA,NA,NA,0.699235181644359
"457","08/16/2004",0,8.9,650,562.5,0.865,NA,NA,NA,NA,NA,0.865384615384615
"458","08/16/2004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","08/30/2004",0,9.3,521,381.7,0.733,NA,NA,NA,NA,NA,0.732629558541267
"460","09/13/2004",0,9.3,1287,1101,0.855,NA,NA,NA,NA,NA,0.855477855477855
"461","09/29/2004",0,9.3,942,832,0.883,NA,NA,NA,NA,NA,0.883227176220807
"462","10/11/2004",0,12.2,531,445.2,0.838,NA,NA,NA,NA,NA,0.838418079096045
"463","10/25/2004",0,9.9,87,72.2,0.83,NA,NA,NA,NA,NA,0.829885057471264
"464","11/10/2004",0,9.8,31,21.39,0.69,NA,NA,NA,NA,NA,0.69
"465","11/10/2004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","01/19/2005",0,16.6,347,6.59,0.019,11.2,43,0,NA,43,0.0189913544668588
"467","02/25/2005",0,16.3,545,15.32,0.028,10,54,5,"0.509",49,0.0281100917431193
"468","04/06/2005",0,11.4,125,94.08,0.753,0,42,0,"0.397",42,0.75264
"469","04/20/2005",0,12.2,381,290.53,0.763,NA,NA,NA,NA,NA,0.76254593175853
"470","04/20/2005",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","05/02/2005",0,12.6,1514,1259.4,0.832,NA,NA,NA,NA,NA,0.831836195508587
"472","05/19/2005",0,11.5,496,278.97,0.562,NA,NA,NA,NA,NA,0.562439516129032
"473","06/01/2005",0,10.3,1352,1241.8,0.918,NA,NA,NA,NA,NA,0.918491124260355
"474","06/13/2005",0,8.8,586,447.62,0.764,NA,NA,NA,NA,NA,0.763856655290102
"475","06/27/2005",0,8.8,817,642.98,0.787,NA,NA,NA,NA,NA,0.787001223990208
"476","07/12/2005",0,8.6,2026,1600.7,0.79,NA,NA,NA,NA,NA,0.790078973346496
"477","07/25/2005",0,8.5,950,900.41,0.948,NA,NA,NA,NA,NA,0.9478
"478","08/09/2005",0,8.6,468,342.45,0.732,NA,NA,NA,NA,NA,0.731730769230769
"479","08/22/2005",0,8.5,1630,759.14,0.466,NA,NA,NA,NA,NA,0.465730061349693
"480","09/08/2005",0,8.6,536,388.57,0.725,NA,NA,NA,NA,NA,0.724944029850746
"481","09/19/2005",0,8.6,90,71.71,0.797,NA,NA,NA,NA,NA,0.796777777777778
"482","10/03/2005",0,9.2,226,160.07,0.708,NA,NA,NA,NA,NA,0.708274336283186
"483","10/17/2005",0,9.8,1320,1070.2,0.811,NA,NA,NA,NA,NA,0.810757575757576
"484","11/15/2005",0,9.2,143,104.86,0.733,NA,NA,NA,NA,NA,0.733286713286713
"485","11/15/2005",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","01/17/2006",0,13.7,179,4.07,0.023,12.5,29,6,NA,23,0.0227374301675978
"487","02/13/2006",0,13.6,655,17.43,0.027,23.6,33,12,NA,21,0.0266106870229008
"488","02/13/2006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","03/31/2006",0,15,522,209.78,0.402,0,41,21,"0.272",20,0.401877394636015
"490","03/31/2006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","04/20/2006",0,NA,1642,1490.3,0.908,NA,NA,NA,NA,NA,0.907612667478685
"492","05/02/2006",0,11.6,961,735.9,0.766,NA,NA,NA,NA,NA,0.76576482830385
"493","05/18/2006",0,10.9,771,578.79,0.751,NA,NA,NA,NA,NA,0.750700389105058
"494","05/18/2006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","05/31/2006",0,9.4,1584,1528.1,0.965,NA,NA,NA,NA,NA,0.964709595959596
"496","06/15/2006",0,9.2,1367,1099,0.804,NA,NA,NA,NA,NA,0.803950256035113
"497","06/28/2006",0,8.8,1621,1261.2,0.778,NA,NA,NA,NA,NA,0.778038247995065
"498","07/12/2006",0,8.8,766,595.79,0.778,NA,NA,NA,NA,NA,0.777793733681462
"499","07/26/2006",0,8.1,1542,1366.3,0.886,NA,NA,NA,NA,NA,0.886057068741894
"500","08/09/2006",0,8.5,1963,1480.9,0.754,NA,NA,NA,NA,NA,0.754406520631686
"501","08/24/2006",0,9.1,1227,700.11,0.571,NA,NA,NA,NA,NA,0.570586797066015
"502","09/08/2006",0,8.8,51,34.06,0.668,NA,NA,NA,NA,NA,0.667843137254902
"503","09/08/2006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","09/21/2006",0,9.1,885,561.65,0.635,NA,NA,NA,NA,NA,0.634632768361582
"505","10/04/2006",0,9.4,1357,734.23,0.541,NA,NA,NA,NA,NA,0.541068533529845
"506","10/19/2006",0,9.3,NA,68.72,NA,NA,NA,NA,NA,NA,NA
"507","10/30/2006",0,9.4,NA,380.01,NA,NA,NA,NA,NA,NA,NA
"508","01/15/2007",0,17.3,415,10.41,0.025,6.8,29,8,"0.53",21,0.0250843373493976
"509","02/20/2007",0,16.1,1138,25.11,0.022,8.7,42,5,"0.315",37,0.0220650263620387
"510","03/28/2007",0,12,914,633.27,0.693,0,27,0,"0.283",27,0.692855579868709
"511","03/28/2007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","04/24/2007",0,11.9,1012,643.22,0.636,NA,NA,NA,NA,NA,0.635592885375494
"513","05/09/2007",0,10.8,194,116.38,0.6,NA,NA,NA,NA,NA,0.599896907216495
"514","05/21/2007",0,10.1,1753,1255.5,0.716,NA,NA,NA,NA,NA,0.716200798630918
"515","06/06/2007",0,9.4,1537,1139.9,0.742,NA,NA,NA,NA,NA,0.741639557579701
"516","06/19/2007",0,8.4,514,296.72,0.577,NA,NA,NA,NA,NA,0.57727626459144
"517","06/19/2007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","07/02/2007",0,8.4,469,253.75,0.541,NA,NA,NA,NA,NA,0.541044776119403
"519","07/16/2007",0,8.4,1270,829.31,0.653,NA,NA,NA,NA,NA,0.653
"520","07/23/2007",0,8.7,454,272.12,0.599,NA,NA,NA,NA,NA,0.599383259911894
"521","07/23/2007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","07/30/2007",0,8.6,1631,1274.4,0.781,NA,NA,NA,NA,NA,0.781361128142244
"523","08/13/2007",0,8.2,1392,1144.2,0.822,NA,NA,NA,NA,NA,0.82198275862069
"524","08/27/2007",0,8.5,339,213.94,0.631,NA,NA,NA,NA,NA,0.631091445427729
"525","09/11/2007",0,8.5,233,144.38,0.62,NA,NA,NA,NA,NA,0.619656652360515
"526","09/24/2007",0,9.6,1674,1246.5,0.745,NA,NA,NA,NA,NA,0.744623655913978
"527","10/10/2007",0,9.3,152,105.46,0.694,NA,NA,NA,NA,NA,0.693815789473684
"528","10/23/2007",0,9.8,735,413.26,0.562,NA,NA,NA,NA,NA,0.562258503401361
"529","11/12/2007",0,10.5,181,99.99,0.552,NA,NA,NA,NA,NA,0.552430939226519
"530","01/17/2008",0,14.3,249,3.25,0.013,11.1,33,8,"0.356",25,0.0130522088353414
"531","01/17/2008",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","03/03/2008",0,14.6,1237,19.11,0.015,18.9,48,13,"0.236",35,0.0154486661277284
"533","03/03/2008",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","03/27/2008",0,13.7,913,9.52,0.01,16.1,50,6,"0.236",44,0.0104271631982475
"535","05/13/2008",0,11.3,886,804.83,0.908,NA,NA,NA,NA,NA,0.908386004514673
"536","05/19/2008",0,11.5,1433,1335.3,0.932,NA,NA,NA,NA,NA,0.93182135380321
"537","06/02/2008",0,10.3,996,842.57,0.846,NA,NA,NA,NA,NA,0.845953815261044
"538","06/18/2008",0,9.6,1423,1334.8,0.938,NA,NA,NA,NA,NA,0.938018271257906
"539","07/01/2008",0,9,1347,809.74,0.601,NA,NA,NA,NA,NA,0.601143281365998
"540","07/15/2008",0,9.2,1922,1602.9,0.834,NA,NA,NA,NA,NA,0.833975026014568
"541","07/29/2008",0,8.6,253,177.88,0.703,NA,NA,NA,NA,NA,0.703083003952569
"542","08/12/2008",0,8.5,980,809.06,0.826,NA,NA,NA,NA,NA,0.825571428571429
"543","08/25/2008",0,8.2,1890,1417.1,0.75,NA,NA,NA,NA,NA,0.74978835978836
"544","08/25/2008",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","09/08/2008",0,8.7,1847,1476.7,0.8,NA,NA,NA,NA,NA,0.799512723335138
"546","09/23/2008",0,9.3,1552,1154.8,0.744,NA,NA,NA,NA,NA,0.744072164948454
"547","10/07/2008",0,10,110,74.04,0.673,NA,NA,NA,NA,NA,0.673090909090909
"548","10/20/2008",0,11.6,723,444.96,0.615,NA,NA,NA,NA,NA,0.615435684647303
"549","11/12/2008",0,10.1,65,47.02,0.723,NA,NA,NA,NA,NA,0.723384615384615
"550","01/20/2009",0,15.3,NA,NA,NA,17.8,45,6,NA,39,NA
"551","02/24/2009",0,14.5,729,46.38,0.064,3.6,55,9,"0.278",46,0.0636213991769547
"552","03/20/2009",0,13.1,345,120.12,0.348,0,56,5,"0.269",51,0.348173913043478
"553","03/20/2009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","04/29/2009",0,12.2,765,648.19,0.847,NA,NA,NA,NA,NA,0.847307189542484
"555","05/13/2009",0,11.8,164,133.2,0.814,NA,NA,NA,NA,NA,0.812195121951219
"556","05/27/2009",0,10.5,457,380.01,0.832,NA,NA,NA,NA,NA,0.831531728665208
"557","05/27/2009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","06/10/2009",0,10.1,177,73.93,0.417,NA,NA,NA,NA,NA,0.417683615819209
"559","06/25/2009",0,8.9,1995,1765.6,0.885,NA,NA,NA,NA,NA,0.885012531328321
"560","07/09/2009",0,9.8,1028,916.4,0.891,NA,NA,NA,NA,NA,0.891439688715953
"561","07/22/2009",0,8.8,512,388.29,0.759,NA,NA,NA,NA,NA,0.75837890625
"562","08/06/2009",0,9,1446,1300,0.9,NA,NA,NA,NA,NA,0.899031811894882
"563","08/19/2009",0,8.5,620,396.33,0.63,NA,NA,NA,NA,NA,0.639241935483871
"564","09/03/2009",0,9.1,1639,1528.2,0.932,NA,NA,NA,NA,NA,0.932397803538743
"565","09/17/2009",0,8.7,695,786.37,1.131,NA,NA,NA,NA,NA,1.13146762589928
"566","09/17/2009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","10/01/2009",0,9,587,807.53,1.376,NA,NA,NA,NA,NA,1.37568994889267
"568","10/14/2009",0,9.3,228,182.34,0.8,NA,NA,NA,NA,NA,0.799736842105263
"569","10/29/2009",0,9.5,35,25.9,0.735,NA,NA,NA,NA,NA,0.74
"570","11/11/2009",0,10.1,364,300.61,0.826,NA,NA,NA,NA,NA,0.825851648351648
"571","11/11/2009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","01/12/2010",0,16.4,845,39.21,0.046,5.7,32,17,"0.267",15,0.0464023668639053
"573","02/11/2010",0,15.9,949,20.66,0.022,9.4,46,14,"0.275",32,0.0217702845100105
"574","02/11/2010",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","04/12/2010",0,12.1,700,510.31,0.729,NA,NA,NA,NA,NA,0.729014285714286
"576","04/27/2010",0,11.8,1666,1585.8,0.952,NA,NA,NA,NA,NA,0.951860744297719
"577","05/10/2010",0,11,1401,1303.7,0.931,NA,NA,NA,NA,NA,0.930549607423269
"578","05/24/2010",0,10.5,645,525.31,0.814,NA,NA,NA,NA,NA,0.814434108527132
"579","06/08/2010",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","06/21/2010",0,9.1,983,862.5,0.878,NA,NA,NA,NA,NA,0.877416073245168
"581","06/21/2010",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","07/06/2010",0,8.3,1327,1275,0.961,NA,NA,NA,NA,NA,0.960813865862849
"583","07/20/2010",0,8.1,795,673.14,0.847,NA,NA,NA,NA,NA,0.846716981132075
"584","08/03/2010",0,8.1,1855,1622.6,0.875,NA,NA,NA,NA,NA,0.874716981132075
"585","08/17/2010",0,8.4,1593,1411.8,0.886,NA,NA,NA,NA,NA,0.886252354048964
"586","09/01/2010",0,8.3,1215,1230.5,1.013,NA,NA,NA,NA,NA,1.01275720164609
"587","09/14/2010",0,9,476,301.65,0.634,NA,NA,NA,NA,NA,0.633718487394958
"588","09/28/2010",0,8.6,264,193.18,0.733,NA,NA,NA,NA,NA,0.731742424242424
"589","10/12/2010",0,9.3,435,282.47,0.649,NA,NA,NA,NA,NA,0.649356321839081
"590","10/26/2010",0,9.7,25,16.63,0.678,NA,NA,NA,NA,NA,0.6652
"591","11/11/2010",0,10,577,334.85,0.581,NA,NA,NA,NA,NA,0.580329289428076
