sampledate.x,wtemp,o2,o2sat,cond,frlight,chlor.x,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,chlDate,chlor.y,datePlus1,dateMinus1,year4,daynum,avsnow,totice,whiteice,blueice,lakeid,sampledate,division,taxa_name,genus,biovolume_conc,Season,bv.datePlus1,bv.dateMinus1
9/17/09,17.06,7.75,87.71,NA,0.28,4.93,0,7.47,8.02,NA,7.9,8.09,3.05,3.07,2.6,NA,8.78,239.9,281.38,3.49,7.26,3266.02,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,9/17/09,1.5,9/18/09,9/16/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/09,14.59,7.68,82.31,NA,0.27,2.6,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10/1/09,1.5,10/2/09,9/30/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/14/09,11.23,8.12,79.26,NA,0.17,3.29,1.19,7.43,7.96,NA,9.38,9.84,3.08,2.99,8.44,NA,35.77,192.14,230.71,4.33,10.82,4194.09,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,10/14/09,2,10/15/09,10/13/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/29/09,9.02,9.16,84.19,NA,0.13,2.75,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10/29/09,2.7,10/30/09,10/28/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/11/09,7.67,9.99,88.84,107.51,0.14,2.79,0.65,7.57,7.84,733.83,8.39,8.31,3.26,3.19,13.26,NA,36.99,225.36,263.14,3.87,8.63,3271.52,NA,NA,0.05,8.84,2.29,12.36,3.5,3.38,0.76,0.01,0,11/11/09,3.3,11/12/09,11/10/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/11/09,7.67,9.99,88.84,107.51,0.14,2.79,0.65,7.57,7.84,733.83,8.39,8.31,3.26,3.19,13.26,NA,36.99,225.36,263.14,3.87,8.63,3271.52,NA,NA,0.05,8.84,2.29,12.36,3.5,3.38,0.76,0.01,0,11/11/09,3,11/12/09,11/10/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/10,2.74,12.26,95.53,NA,0.01,3.39,0.94,7.48,7.85,NA,9.01,8.52,3.3,3.27,14.9,NA,88.86,351.69,372.55,7.53,9.4,4022.03,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1/12/10,15.3,1/13/10,1/11/10,2010,12,5.7,32,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Bacillariophyta,Fragilaria filiformis,Fragilaria,2388.7656,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Bacillariophyta,Urosolenia longiseta,Urosolenia,29365.5444,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Chlorococcaceae,,292.2953,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Chlamydomonas ,Chlamydomonas,17963.3743,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monomastix astigmata,Monomastix,339.8791,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monomastix minuta,Monomastix,359.4229,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monoraphidium arcuatum,Monoraphidium,878.8295,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monoraphidium griffithii,Monoraphidium,758.6096,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Oocystis parva,Oocystis,152.9453,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Scenedesmus bijuga,Scenedesmus,152.9453,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Tetraedron minimum,Tetraedron,43.8157,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chrysophyta,Chrysophyceae,,3836.1498,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chrysophyta,Chrysophyceae,,1372.0239,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chrysophyta,Kephyrion planctonicum,Kephyrion,122.3567,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Cryptomonas erosa,Cryptomonas,29977.3281,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Cryptomonas lucens,Cryptomonas,611.7823,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Rhodomonas minuta,Rhodomonas,5003.0157,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Rhodomonas minuta,Rhodomonas,5506.041,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Aphanizomenon flos-aquae,Aphanizomenon,978.8512,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Aphanocapsa delicatissima,Aphanocapsa,1918.2924,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Aphanothece nidulans,Aphanothece,67.976,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Chroococcus minimus,Chroococcus,380.6647,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Dactylococcopsis irregularis,Dactylococcopsis,88.5271,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Merismopedia warmingiana,Merismopedia,10.1964,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Pseudanabaena acicularis,Pseudanabaena,1339.0677,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Pseudanabaena limnetica,Pseudanabaena,357.3765,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Synechococcus elongatus,Synechococcus,10.1964,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Synechocystis ,Synechocystis,2294.1237,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Haptophyta,Chrysochromulina parva,Chrysochromulina,981.5717,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Pyrrhophyta,Gymnodinium sp. 2,Gymnodinium,3915.4062,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.3,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Total,Total,Total,111467.3745,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Bacillariophyta,Fragilaria filiformis,Fragilaria,2388.7656,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Bacillariophyta,Urosolenia longiseta,Urosolenia,29365.5444,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Chlorococcaceae,,292.2953,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Chlamydomonas ,Chlamydomonas,17963.3743,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monomastix astigmata,Monomastix,339.8791,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monomastix minuta,Monomastix,359.4229,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monoraphidium arcuatum,Monoraphidium,878.8295,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Monoraphidium griffithii,Monoraphidium,758.6096,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Oocystis parva,Oocystis,152.9453,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Scenedesmus bijuga,Scenedesmus,152.9453,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chlorophyta,Tetraedron minimum,Tetraedron,43.8157,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chrysophyta,Chrysophyceae,,3836.1498,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chrysophyta,Chrysophyceae,,1372.0239,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Chrysophyta,Kephyrion planctonicum,Kephyrion,122.3567,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Cryptomonas erosa,Cryptomonas,29977.3281,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Cryptomonas lucens,Cryptomonas,611.7823,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Rhodomonas minuta,Rhodomonas,5003.0157,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cryptophyta,Rhodomonas minuta,Rhodomonas,5506.041,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Aphanizomenon flos-aquae,Aphanizomenon,978.8512,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Aphanocapsa delicatissima,Aphanocapsa,1918.2924,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Aphanothece nidulans,Aphanothece,67.976,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Chroococcus minimus,Chroococcus,380.6647,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Dactylococcopsis irregularis,Dactylococcopsis,88.5271,0,2/12/10,2/10/10
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,2/11/10,6.5,2/12/10,2/10/10,2010,42,9.4,46,14,32,SP,2/11/10,Cyanophyta,Merismopedia warmingiana,Merismopedia,10.1964,0,2/12/10,2/10/10
