raw_id,lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,taxa_id
424,SP,2011,2011-6-3,,0m,Bacillariophyta,Fragilaria filiformis,76.2,10.12631,Fragilaria,1,354.4201,354.4201,89420.1938,0.08942019,1477
425,SP,2011,2011-6-3,,0m,Bacillariophyta,Navicula ,24,0.349175,Navicula,1,9.0877,9.0877,3083.3823,0.00308338,1210
426,SP,2011,2011-6-3,,0m,Bacillariophyta,Tabellaria flocculosa,40,0.480968,Tabellaria,1,0.5309,0.5309,4247.18,0.00424718,1332
427,SP,2011,2011-6-3,,0m,Bacillariophyta,Ulnaria ulna,368,7.249152,Ulnaria,1,1.5927,1.5927,64013.4962,0.0640135,1315
428,SP,2011,2011-6-3,,0m,Chlorophyta,Chlamydomonas ,10.6667,1.766049,Chlamydomonas,1,27.2631,27.2631,15595.0628,0.01559506,2080
429,SP,2011,2011-6-3,,0m,Chlorophyta,Monomastix minuta,4,0.004311,Monomastix,1,9.0877,9.0877,38.0665,0.00003807,1000538
430,SP,2011,2011-6-3,,0m,Chlorophyta,Schroederia judayi,40,0.017244,Schroederia,1,9.0877,9.0877,152.2661,0.00015227,2491
431,SP,2011,2011-6-3,,0m,Chrysophyta,Chrysophyceae,2.25,0.043068,,1,81.7893,81.7893,380.3119,0.00038031,1652
432,SP,2011,2011-6-3,,0m,Chrysophyta,Chrysophyceae,5.6,0.535792,,1,45.4385,45.4385,4731.2995,0.0047313,1653
433,SP,2011,2011-6-3,,0m,Chrysophyta,Dinobryon ,8.6667,1.123682,Dinobryon,1,72.7016,72.7016,9922.6508,0.00992265,1123
434,SP,2011,2011-6-3,,0m,Chrysophyta,Dinobryon bavaricum,111.3333,0.603512,Dinobryon,1,63.6139,63.6139,5329.3025,0.0053293,1121
435,SP,2011,2011-6-3,,0m,Chrysophyta,Dinobryon bavaricum,170,1.207025,Dinobryon,2.5,63.6139,159.0347,10658.605,0.01065861,1122
436,SP,2011,2011-6-3,,0m,Chrysophyta,Dinobryon sociale,40,0.043108,Dinobryon,1,9.0877,9.0877,380.6645,0.00038066,9733
437,SP,2011,2011-6-3,,0m,Chrysophyta,Kephyrion petasatum,10,0.135791,Kephyrion,1,63.6139,63.6139,1199.0959,0.0011991,9726
438,SP,2011,2011-6-3,,0m,Chrysophyta,Mallomonas ,16.6667,3.764766,Mallomonas,1,36.3508,36.3508,33244.6972,0.0332447,1180
439,SP,2011,2011-6-3,,0m,Cryptophyta,Cryptomonas erosa,26,52.401448,Cryptomonas,1,463.4725,463.4725,462730.0153,0.46273002,3015
440,SP,2011,2011-6-3,,0m,Cryptophyta,Rhodomonas minuta,8,1.379456,Rhodomonas,1,363.5078,363.5078,12181.2556,0.01218126,3043
441,SP,2011,2011-6-3,,0m,Cryptophyta,Rhodomonas minuta,12,0.29098,Rhodomonas,1,27.2631,27.2631,2569.4858,0.00256949,3041
442,SP,2011,2011-6-3,,0m,Cyanophyta,Aphanocapsa delicatissima,40,0.019399,Aphanocapsa,36,9.0877,327.157,171.2994,0.0001713,4054
443,SP,2011,2011-6-3,,0m,Cyanophyta,Aphanocapsa parasitica,20,0.013472,Aphanocapsa,25,9.0877,227.1924,118.9579,0.00011896,1000915
444,SP,2011,2011-6-3,,0m,Cyanophyta,Merismopedia warmingiana,8,0.001617,Merismopedia,12,9.0877,109.0523,14.275,0.00001428,4166
445,SP,2011,2011-6-3,,0m,Cyanophyta,Planktothrix agardhii,140,1.810537,Planktothrix,35,9.0877,318.0693,15987.9084,0.01598791,107710
446,SP,2011,2011-6-3,,0m,Cyanophyta,Synechocystis ,1.5,0.001819,Synechocystis,1,9.0877,9.0877,16.0589,0.00001606,4285
447,SP,2011,2011-6-3,,0m,Haptophyta,Chrysochromulina parva,4,2.334302,Chrysochromulina,1,681.5771,681.5771,20613.0055,0.02061301,1731
448,SP,2011,2011-6-3,,0m,Pyrrhophyta,Gymnodinium sp. 2,10,0.517296,Gymnodinium,1,27.2631,27.2631,4567.9736,0.00456797,6033
449,SP,2011,2011-6-3,,0m,Pyrrhophyta,Peridinium ,12,0.206919,Peridinium,1,9.0877,9.0877,1827.1893,0.00182719,6040
450,SP,2011,2011-6-3,,0m,Pyrrhophyta,Peridinium bipes,64,3.15901,Peridinium,1,0.5309,0.5309,27895.5758,0.02789558,124819
451,SP,2011,2011-6-3,,0m,Pyrrhophyta,Peridinium inconspicuum,20,2.133846,Peridinium,1,9.0877,9.0877,18842.8924,0.01884289,124851
452,SP,2011,2011-7-26,,0m,Bacillariophyta,Cyclostephanos damasii,20,7.471237,Cyclostephanos,1,9.0877,9.0877,28549.8367,0.02854984,1523
453,SP,2011,2011-7-26,,0m,Bacillariophyta,Cyclotella hakanssoniae,6,2.820126,Cyclotella,1,118.14,118.14,10776.5451,0.01077655,1000073
454,SP,2011,2011-7-26,,0m,Bacillariophyta,Fragilaria crotonensis,101.3333,7.44483,Fragilaria,8.6022,1.6458,14.1573,28448.9329,0.02844893,1152
455,SP,2011,2011-7-26,,0m,Bacillariophyta,Fragilaria delicatissima,94,16.609127,Fragilaria,1,81.7893,81.7893,63468.4628,0.06346846,1314
456,SP,2011,2011-7-26,,0m,Bacillariophyta,Fragilaria filiformis,77.6,10.023981,Fragilaria,1,136.3154,136.3154,38304.635,0.03830464,1477
457,SP,2011,2011-7-26,,0m,Bacillariophyta,Tabellaria flocculosa,80,1.984602,Tabellaria,4,1.0972,4.3888,7583.7645,0.00758376,1332
458,SP,2011,2011-7-26,,0m,Bacillariophyta,Urosolenia longiseta,120,10.758579,Urosolenia,1,18.1754,18.1754,41111.764,0.04111176,111368
459,SP,2011,2011-7-26,,0m,Chlorophyta,Chlorococcaceae,2.5,0.152537,,1,63.6139,63.6139,582.8939,0.00058289,2683
460,SP,2011,2011-7-26,,0m,Chlorophyta,Chlamydomonas ,6,2.126418,Chlamydomonas,1,118.14,118.14,8125.6835,0.00812568,2080
461,SP,2011,2011-7-26,,0m,Chlorophyta,Monomastix astigmata,5,0.049808,Monomastix,1,9.0877,9.0877,190.3327,0.00019033,2861
462,SP,2011,2011-7-26,,0m,Chlorophyta,Monomastix minuta,5,0.049808,Monomastix,1,9.0877,9.0877,190.3327,0.00019033,1000538
463,SP,2011,2011-7-26,,0m,Chlorophyta,Monoraphidium capricornutum,4,0.03715,Monoraphidium,1,18.1754,18.1754,141.9643,0.00014196,8041
464,SP,2011,2011-7-26,,0m,Chlorophyta,Monoraphidium griffithii,60,0.05977,Monoraphidium,1,9.0877,9.0877,228.3983,0.0002284,1000031
465,SP,2011,2011-7-26,,0m,Chlorophyta,Oocystis parva,11.3333,2.301141,Oocystis,1.3333,27.2631,36.3499,8793.3483,0.00879335,2363
466,SP,2011,2011-7-26,,0m,Chlorophyta,Scenedesmus bijuga,8,0.037356,Scenedesmus,3,9.0877,27.2631,142.7495,0.00014275,2483
467,SP,2011,2011-7-26,,0m,Chlorophyta,Schroederia judayi,28,0.071724,Schroederia,1,27.2631,27.2631,274.0785,0.00027408,2491
468,SP,2011,2011-7-26,,0m,Chrysophyta,Chrysophyceae,3,0.776019,,1,172.6662,172.6662,2965.404,0.0029654,1652
469,SP,2011,2011-7-26,,0m,Chrysophyta,Chrysophyceae,4.3333,0.298255,,1,27.2631,27.2631,1139.7197,0.00113972,1653
470,SP,2011,2011-7-26,,0m,Chrysophyta,Chrysococcus minutus,8,0.359616,Chrysococcus,1,45.4385,45.4385,1374.2004,0.0013742,1472
471,SP,2011,2011-7-26,,0m,Chrysophyta,Dinobryon ,6,0.186782,Dinobryon,1,9.0877,9.0877,713.7458,0.00071375,1123
472,SP,2011,2011-7-26,,0m,Chrysophyta,Kephyrion petasatum,8,0.071923,Kephyrion,1,9.0877,9.0877,274.8401,0.00027484,9726
473,SP,2011,2011-7-26,,0m,Chrysophyta,Mallomonas ,15,4.78209,Mallomonas,1,18.1754,18.1754,18273.7991,0.0182738,1180
474,SP,2011,2011-7-26,,0m,Cryptophyta,Chroomonas ,8,0.398466,Chroomonas,1,45.4385,45.4385,1522.657,0.00152266,3020
475,SP,2011,2011-7-26,,0m,Cryptophyta,Cryptomonas erosa,16.4,15.58201,Cryptomonas,1,109.0523,109.0523,59543.5382,0.05954354,3015
476,SP,2011,2011-7-26,,0m,Cryptophyta,Rhodomonas minuta,8,3.426805,Rhodomonas,1,390.7709,390.7709,13094.8498,0.01309485,3043
477,SP,2011,2011-7-26,,0m,Cryptophyta,Rhodomonas minuta,12,1.793096,Rhodomonas,1,72.7016,72.7016,6851.9622,0.00685196,3041
478,SP,2011,2011-7-26,,0m,Cyanophyta,Planktothrix agardhii,95.2,8.4933,Planktothrix,28.4,36.3508,1032.3622,32455.4527,0.03245545,107710
479,SP,2011,2011-7-26,,0m,Cyanophyta,Synechococcus elongatus,3,0.007471,Synechococcus,1,18.1754,18.1754,28.5499,0.00002855,4321
480,SP,2011,2011-7-26,,0m,Haptophyta,Chrysochromulina parva,4,1.078847,Chrysochromulina,1,136.3154,136.3154,4122.6011,0.0041226,1731
481,SP,2011,2011-7-26,,0m,Pyrrhophyta,Peridinium inconspicuum,12,0.747123,Peridinium,1,9.0877,9.0877,2854.9839,0.00285498,124851
482,SP,2011,2011-8-22,,0m,,Rhodospirillum rubrum,4,0.050726,Rhodospirillum,1,579.3406,579.3406,455.0141,0.00045501,1000986
483,SP,2011,2011-8-22,,0m,Bacillariophyta,Cyclotella hakanssoniae,5.5714,1.320363,Cyclotella,1,170.3943,170.3943,11843.7148,0.01184371,1000073
484,SP,2011,2011-8-22,,0m,Bacillariophyta,Cyclotella sp. 1,10,0.497312,Cyclotella,1,11.3596,11.3596,4460.9121,0.00446091,1071
485,SP,2011,2011-8-22,,0m,Bacillariophyta,Fragilaria crotonensis,96,0.686153,Fragilaria,4.8387,0.6857,3.3181,6154.8172,0.00615482,1152
486,SP,2011,2011-8-22,,0m,Bacillariophyta,Fragilaria delicatissima,150,72.944351,Fragilaria,1,272.6309,272.6309,654314.0496,0.65431405,1314
487,SP,2011,2011-8-22,,0m,Bacillariophyta,Fragilaria filiformis,90.5,0.965626,Fragilaria,1,11.3596,11.3596,8661.7094,0.00866171,1477
488,SP,2011,2011-8-22,,0m,Bacillariophyta,Synedra ulna,190,2.165536,Synedra,1,11.3596,11.3596,19424.9483,0.01942495,9776
489,SP,2011,2011-8-22,,0m,Chlorophyta,Chlorococcaceae,4.6,0.460975,,1,45.4385,45.4385,4134.9694,0.00413497,2683
490,SP,2011,2011-8-22,,0m,Chlorophyta,Chlamydomonas ,8.2,1.010539,Chlamydomonas,1,56.7981,56.7981,9064.584,0.00906458,2080
491,SP,2011,2011-8-22,,0m,Chlorophyta,Cosmarium ,8,0.169749,Cosmarium,1,22.7192,22.7192,1522.657,0.00152266,2180
492,SP,2011,2011-8-22,,0m,Chlorophyta,Crucigenia rectangularis,20,0.331541,Crucigenia,4,11.3596,45.4385,2973.9414,0.00297394,2192
493,SP,2011,2011-8-22,,0m,Chlorophyta,Monoraphidium capricornutum,4,0.009892,Monoraphidium,1,11.3596,11.3596,88.7277,0.00008873,8041
494,SP,2011,2011-8-22,,0m,Chlorophyta,Monoraphidium griffithii,40,0.063656,Monoraphidium,1,34.0789,34.0789,570.9981,0.000571,1000031
495,SP,2011,2011-8-22,,0m,Chlorophyta,Oocystis parva,7.8,0.344471,Oocystis,1.4,56.7981,79.5173,3089.9243,0.00308992,2363
496,SP,2011,2011-8-22,,0m,Chlorophyta,Schroederia judayi,37,0.112193,Schroederia,1,34.0789,34.0789,1006.3827,0.00100638,2491
497,SP,2011,2011-8-22,,0m,Chlorophyta,Sphaerocystis schroeteri,20,0.143226,Sphaerocystis,8,11.3596,90.877,1284.7422,0.00128474,2641
498,SP,2011,2011-8-22,,0m,Chrysophyta,Chrysophyceae,6,0.133837,,1,11.3596,11.3596,1200.5209,0.00120052,1653
499,SP,2011,2011-8-22,,0m,Chrysophyta,Chrysophyceae,2,0.031194,,1,68.1577,68.1577,279.8147,0.00027981,1652
500,SP,2011,2011-8-22,,0m,Chrysophyta,Dinobryon ,10,0.165771,Dinobryon,1,11.3596,11.3596,1486.9707,0.00148697,1123
501,SP,2011,2011-8-22,,0m,Chrysophyta,Mallomonas ,16,1.527743,Mallomonas,1,11.3596,11.3596,13703.9216,0.01370392,1180
502,SP,2011,2011-8-22,,0m,Cryptophyta,Cryptomonas erosa,12,0.509247,Cryptomonas,1,22.7192,22.7192,4567.9731,0.00456797,3015
503,SP,2011,2011-8-22,,0m,Cryptophyta,Rhodomonas minuta,8,0.297061,Rhodomonas,1,79.5173,79.5173,2664.6497,0.00266465,3043
504,SP,2011,2011-8-22,,0m,Cryptophyta,Rhodomonas minuta,12,0.23871,Rhodomonas,1,22.7192,22.7192,2141.2382,0.00214124,3041
505,SP,2011,2011-8-22,,0m,Cyanophyta,Aphanocapsa elachista,30,0.093992,Aphanocapsa,21,22.7192,477.104,843.1132,0.00084311,4051
506,SP,2011,2011-8-22,,0m,Cyanophyta,Aphanothece nidulans,80,0.596774,Aphanothece,150,34.0789,5111.8285,5353.0932,0.00535309,4062
507,SP,2011,2011-8-22,,0m,Cyanophyta,Dolichospermum circinale,80,0.341471,Dolichospermum,17,0.6857,11.6576,3063.0143,0.00306301,4011
508,SP,2011,2011-8-22,,0m,Cyanophyta,Planktothrix agardhii,184,8.235489,Planktothrix,61.3333,56.7981,3483.6146,73872.7037,0.0738727,107710
509,SP,2011,2011-8-22,,0m,Cyanophyta,Pseudanabaena limnetica,91,1.425546,Pseudanabaena,22.75,79.5173,1809.0193,12787.2061,0.01278721,4172
510,SP,2011,2011-8-22,,0m,Euglenophyta,Trachelomonas volvocina,24,1.145807,Trachelomonas,1,11.3596,11.3596,10277.9412,0.01027794,5047
511,SP,2011,2011-8-22,,0m,Haptophyta,Chrysochromulina parva,4,3.217176,Chrysochromulina,1,954.208,954.208,28858.2076,0.02885821,1731
512,SP,2011,2011-8-22,,0m,Pyrrhophyta,Gymnodinium sp. 2,16,0.763871,Gymnodinium,1,11.3596,11.3596,6851.9608,0.00685196,6033
513,SP,2011,2011-11-15,,0m,Bacillariophyta,Cyclostephanos tholiformis,10,1.625033,Cyclostephanos,1,11.3596,11.3596,4460.9121,0.00446091,1522
514,SP,2011,2011-11-15,,0m,Bacillariophyta,Cyclotella atomus,4,8.112157,Cyclotella,1,886.0503,886.0503,22268.8358,0.02226884,9856
515,SP,2011,2011-11-15,,0m,Bacillariophyta,Cyclotella ocellata,10,1.625033,Cyclotella,1,11.3596,11.3596,4460.9121,0.00446091,9363
516,SP,2011,2011-11-15,,0m,Bacillariophyta,Cymatopleura solea,104,10.447036,Cymatopleura,1,0.6857,0.6857,28678.3598,0.02867836,1081
517,SP,2011,2011-11-15,,0m,Bacillariophyta,Lindavia intermedia,32,3.214472,Lindavia,1,0.6857,0.6857,8824.1107,0.00882411,1000936
518,SP,2011,2011-11-15,,0m,Bacillariophyta,Nitzschia ,80,2.009046,Nitzschia,1,0.6857,0.6857,5515.0692,0.00551507,1220
519,SP,2011,2011-11-15,,0m,Chlorophyta,Chlorococcaceae,4,0.138668,,1,11.3596,11.3596,380.6642,0.00038066,2683
520,SP,2011,2011-11-15,,0m,Chlorophyta,Chlamydomonas ,16,8.654367,Chlamydomonas,1,11.3596,11.3596,23757.2707,0.02375727,2080
521,SP,2011,2011-11-15,,0m,Chlorophyta,Monomastix minuta,4,0.156004,Monomastix,1,45.4385,45.4385,428.2485,0.00042825,1000538
522,SP,2011,2011-11-15,,0m,Chlorophyta,Monoraphidium arcuatum,25,0.255497,Monoraphidium,1,22.7192,22.7192,701.3724,0.00070137,2031
523,SP,2011,2011-11-15,,0m,Chlorophyta,Monoraphidium capricornutum,4,0.16161,Monoraphidium,1,56.7981,56.7981,443.6386,0.00044364,8041
524,SP,2011,2011-11-15,,0m,Chlorophyta,Scenedesmus serratus,12,0.277339,Scenedesmus,4,22.7192,90.877,761.3285,0.00076133,8308
525,SP,2011,2011-11-15,,0m,Chlorophyta,Schroederia judayi,24,0.187205,Schroederia,1,22.7192,22.7192,513.8978,0.0005139,2491
526,SP,2011,2011-11-15,,0m,Chrysophyta,Chrysophyceae,3,0.057724,,1,11.3596,11.3596,158.4587,0.00015846,1652
527,SP,2011,2011-11-15,,0m,Chrysophyta,Dinobryon ,6,0.650012,Dinobryon,1,22.7192,22.7192,1784.3644,0.00178436,1123
528,SP,2011,2011-11-15,,0m,Chrysophyta,Dinobryon bavaricum,230,1.300027,Dinobryon,2,11.3596,22.7192,3568.7299,0.00356873,1122
529,SP,2011,2011-11-15,,0m,Chrysophyta,Kephyrion planctonicum,8,0.078,Kephyrion,1,11.3596,11.3596,214.1243,0.00021412,1000615
530,SP,2011,2011-11-15,,0m,Chrysophyta,Mallomonas ,16,9.984207,Mallomonas,1,22.7192,22.7192,27407.8433,0.02740784,1180
531,SP,2011,2011-11-15,,0m,Chrysophyta,Mallomonas akrokomas,20,0.346673,Mallomonas,1,11.3596,11.3596,951.6612,0.00095166,1183
532,SP,2011,2011-11-15,,0m,Cryptophyta,Cryptomonas erosa,24,39.936833,Cryptomonas,1,68.1577,68.1577,109631.3686,0.10963137,3015
533,SP,2011,2011-11-15,,0m,Cryptophyta,Cryptomonas lucens,10,0.390009,Cryptomonas,1,11.3596,11.3596,1070.6191,0.00107062,3018
534,SP,2011,2011-11-15,,0m,Cryptophyta,Rhodomonas minuta,8,3.744074,Rhodomonas,1,306.7097,306.7097,10277.9344,0.01027793,3043
535,SP,2011,2011-11-15,,0m,Cryptophyta,Rhodomonas minuta,12,1.560034,Rhodomonas,1,45.4385,45.4385,4282.4764,0.00428248,3041
536,SP,2011,2011-11-15,,0m,Cyanophyta,Aphanocapsa delicatissima,20,0.069334,Aphanocapsa,16,22.7192,363.5078,190.3327,0.00019033,4054
537,SP,2011,2011-11-15,,0m,Cyanophyta,Planktothrix agardhii,154.6667,0.797612,Planktothrix,52.2523,2.0572,107.4949,2189.5376,0.00218954,107710
538,SP,2011,2011-11-15,,0m,Cyanophyta,Synechococcus elongatus,3,0.169005,Synechococcus,1,295.3501,295.3501,463.9359,0.00046394,4321
539,SP,2011,2011-11-15,,0m,Cyanophyta,Synechocystis ,1.5,0.043874,Synechocystis,1,68.1577,68.1577,120.4415,0.00012044,4285
540,SP,2011,2011-11-15,,0m,Haptophyta,Chrysochromulina parva,4,2.878436,Chrysochromulina,1,261.2712,261.2712,7901.6521,0.00790165,1731
541,SP,2011,2011-11-15,,0m,Miscellaneous,Miscellaneous,6,0.437329,,1,11.3596,11.3596,1200.5209,0.00120052,7140
542,SP,2011,2011-11-15,,0m,Pyrrhophyta,Gymnodinium sp. 3,10,0.693347,Gymnodinium,1,11.3596,11.3596,1903.3223,0.00190332,6034
543,TB,2012,2012-2-20,,0m,,Rhodospirillum rubrum,4.6,0.713923,Rhodospirillum,1,3303.0028,3303.0028,2983.2721,0.00298327,1000986
544,TB,2012,2012-2-20,,0m,Bacillariophyta,Tabellaria flocculosa,60,0.880913,Tabellaria,1,0.8521,0.8521,3681.071,0.00368107,1332
545,TB,2012,2012-2-20,,0m,Chlorophyta,Chlamydomonas ,7.4,44.398832,Chlamydomonas,1,1402.1294,1402.1294,185529.3382,0.18552934,2080
546,TB,2012,2012-2-20,,0m,Chlorophyta,Spinocosmarium ,36,0.983991,Spinocosmarium,1,0.8521,0.8521,4111.7957,0.0041118,130039
547,TB,2012,2012-2-20,,0m,Chrysophyta,Chrysophyceae,2.2,1.477316,,1,1016.3085,1016.3085,6173.2613,0.00617326,1652
548,TB,2012,2012-2-20,,0m,Chrysophyta,Chrysophyceae,10,1.132432,,1,9.4103,9.4103,4732.0859,0.00473209,1653
549,TB,2012,2012-2-20,,0m,Chrysophyta,Mallomonas ,14,1.056494,Mallomonas,1,9.4103,9.4103,4414.7737,0.00441477,1180
550,TB,2012,2012-2-20,,0m,Cryptophyta,Cryptomonas erosa,26.8571,34.131253,Cryptomonas,1,75.2821,75.2821,142624.2236,0.14262422,3015
551,TB,2012,2012-2-20,,0m,Cryptophyta,Rhodomonas minuta,7.5,0.754639,Rhodomonas,1,94.1026,94.1026,3153.4078,0.00315341,3043
552,TB,2012,2012-2-20,,0m,Cyanophyta,Synechococcus elongatus,4,0.009434,Synechococcus,1,18.8205,18.8205,39.4177,0.00003942,4321
553,TB,2012,2012-2-20,,0m,Euglenophyta,Euglena ,12,13.102424,Euglena,1,188.2053,188.2053,54751.0818,0.05475108,5020
554,TB,2012,2012-2-20,,0m,Miscellaneous,Miscellaneous,16,1.358351,,1,18.8205,18.8205,5676.1378,0.00567614,7140
555,TB,2012,2012-4-2,,0m,,Rhodospirillum rubrum,5,2.390685,Rhodospirillum,1,41075.8035,41075.8035,40324.1163,0.04032412,1000986
556,TB,2012,2012-4-2,,0m,Bacillariophyta,Cyclotella sp. 1,6,0.212954,Cyclotella,1,42.3462,42.3462,3591.9308,0.00359193,1071
557,TB,2012,2012-4-2,,0m,Chlorophyta,Chlamydomonas ,8.6667,84.973766,Chlamydomonas,1,4700.427,4700.427,1433268.301,1.4332683,2080
558,TB,2012,2012-4-2,,0m,Chrysophyta,Chrysophyceae,2.2,1.88108,,1,6987.1212,6987.1212,31728.5174,0.03172852,1652
559,TB,2012,2012-4-2,,0m,Chrysophyta,Chrysophyceae,6.8571,4.90728,,1,381.1157,381.1157,82772.0041,0.082772,1653
560,TB,2012,2012-4-2,,0m,Cryptophyta,Cryptomonas erosa,20,1.892922,Cryptomonas,1,42.3462,42.3462,31928.2729,0.03192827,3015
561,TB,2012,2012-4-2,,0m,Cyanophyta,Synechococcus elongatus,4,0.005258,Synechococcus,1,42.3462,42.3462,88.6899,0.00008869,4321
562,TB,2012,2012-4-2,,0m,Cyanophyta,Synechocystis ,1.5,0.013309,Synechocystis,1,127.0386,127.0386,224.4899,0.00022449,4285
563,TB,2012,2012-4-2,,0m,Pyrrhophyta,Gymnodinium sp. 2,13,3.722747,Gymnodinium,1,127.0386,127.0386,62792.2674,0.06279227,6033
564,TB,2012,2012-6-26,,0m,,Rhodospirillum rubrum,5.3333,1.190502,Rhodospirillum,1,6704.8133,6704.8133,7021.2805,0.00702128,1000986
565,TB,2012,2012-6-26,,0m,Bacillariophyta,Stephanodiscus parvus,8,0.80202,Stephanodiscus,1,23.5257,23.5257,4730.114,0.00473011,1298
566,TB,2012,2012-6-26,,0m,Chlorophyta,Chlamydomonas ,9.5,12.328318,Chlamydomonas,1,164.6796,164.6796,72709.2984,0.0727093,2080
567,TB,2012,2012-6-26,,0m,Chlorophyta,Monomastix minuta,5,0.093987,Monomastix,1,47.0513,47.0513,554.3116,0.00055431,1000538
568,TB,2012,2012-6-26,,0m,Chlorophyta,Monoraphidium griffithii,44,0.165417,Monoraphidium,1,23.5257,23.5257,975.5856,0.00097559,1000031
569,TB,2012,2012-6-26,,0m,Chrysophyta,Chrysophyceae,2.2,5.271088,,1,6845.9672,6845.9672,31087.5373,0.03108754,1652
570,TB,2012,2012-6-26,,0m,Chrysophyta,Dinobryon cylindricum,36,0.267339,Dinobryon,1,23.5257,23.5257,1576.7039,0.0015767,1124
571,TB,2012,2012-6-26,,0m,Chrysophyta,Gonyostomum semen,72,4.357379,Gonyostomum,1,0.8521,0.8521,25698.7234,0.02569872,7111
572,TB,2012,2012-6-26,,0m,Chrysophyta,Mallomonas ,14,5.848067,Mallomonas,1,47.0513,47.0513,34490.4206,0.03449042,1180
573,TB,2012,2012-6-26,,0m,Cryptophyta,Cryptomonas erosa,23.8462,50.326797,Cryptomonas,1,305.8336,305.8336,296814.7088,0.29681471,3015
574,TB,2012,2012-6-26,,0m,Euglenophyta,Euglena ,14.6667,19.228448,Euglena,1,329.3592,329.3592,113404.5155,0.11340452,5020
575,TB,2012,2012-6-26,,0m,Haptophyta,Chrysochromulina parva,4,0.120638,Chrysochromulina,1,23.5257,23.5257,711.4889,0.00071149,1731
576,TB,2012,2012-7-23,,0m,,Rhodospirillum rubrum,4.6,0.333637,Rhodospirillum,1,5505.0046,5505.0046,4972.1201,0.00497212,1000986
577,TB,2012,2012-7-23,,0m,Chlorophyta,Chlorococcaceae,5.6667,0.579416,,1,70.577,70.577,8634.9244,0.00863492,2683
578,TB,2012,2012-7-23,,0m,Chlorophyta,Chlamydomonas ,6,0.246975,Chlamydomonas,1,42.3462,42.3462,3680.6207,0.00368062,2080
579,TB,2012,2012-7-23,,0m,Chlorophyta,Monoraphidium griffithii,50,0.039675,Monoraphidium,1,28.2308,28.2308,591.2657,0.00059127,1000031
580,TB,2012,2012-7-23,,0m,Chlorophyta,Mucidosphaerium pulchellum,10,0.079274,Mucidosphaerium,6,14.1154,84.6924,1181.3994,0.0011814,2211
581,TB,2012,2012-7-23,,0m,Chrysophyta,Chrysophyceae,2.25,2.301199,,1,5222.6967,5222.6967,34294.3154,0.03429432,1652
582,TB,2012,2012-7-23,,0m,Chrysophyta,Gonyostomum semen,63.5,90.656702,Gonyostomum,1,70.577,70.577,1351039.017,1.35103902,7111
583,TB,2012,2012-7-23,,0m,Chrysophyta,Mallomonas ,12,1.190241,Mallomonas,1,28.2308,28.2308,17737.9294,0.01773793,1180
584,TB,2012,2012-7-23,,0m,Cryptophyta,Cryptomonas erosa,22.6667,2.209881,Cryptomonas,1,42.3462,42.3462,32933.4232,0.03293342,3015
585,TB,2012,2012-7-23,,0m,Cyanophyta,Synechocystis ,1.5,0.003348,Synechocystis,1,28.2308,28.2308,49.8866,0.00004989,4285
586,TB,2012,2012-7-23,,0m,Euglenophyta,Euglena ,11,2.288239,Euglena,1,141.154,141.154,34101.1744,0.03410117,5020
587,TB,2012,2012-7-23,,0m,Pyrrhophyta,Gymnodinium sp. 3,8,0.071415,Gymnodinium,1,14.1154,14.1154,1064.2755,0.00106428,6034
588,TB,2012,2012-8-21,,0m,,Rhodospirillum rubrum,4.3333,0.405253,Rhodospirillum,1,4234.6189,4234.6189,3602.8138,0.00360281,1000986
589,TB,2012,2012-8-21,,0m,Bacillariophyta,Cyclotella ocellata,5,0.077938,Cyclotella,1,14.1154,14.1154,692.8881,0.00069289,9363
590,TB,2012,2012-8-21,,0m,Bacillariophyta,Cyclotella sp. 1,6,0.269353,Cyclotella,1,28.2308,28.2308,2394.6205,0.00239462,1071
591,TB,2012,2012-8-21,,0m,Chlorophyta,Chlorococcaceae,5.6667,1.190474,,1,84.6924,84.6924,10583.6339,0.01058363,2683
592,TB,2012,2012-8-21,,0m,Chlorophyta,Botryococcus braunii,60,8.087243,Botryococcus,80,14.1154,1129.2317,71897.7441,0.07189774,2041
593,TB,2012,2012-8-21,,0m,Chlorophyta,Chlamydomonas ,7.1,13.026966,Chlamydomonas,1,550.5005,550.5005,115813.1856,0.11581319,2080
594,TB,2012,2012-8-21,,0m,Chlorophyta,Monomastix minuta,4.75,0.683149,Monomastix,1,536.3851,536.3851,6073.3808,0.00607338,1000538
595,TB,2012,2012-8-21,,0m,Chlorophyta,Monoraphidium griffithii,35,0.104748,Monoraphidium,1,28.2308,28.2308,931.2407,0.00093124,1000031
596,TB,2012,2012-8-21,,0m,Chrysophyta,Chrysophyceae,2.4,5.363469,,1,5928.4665,5928.4665,47682.6559,0.04768266,1652
597,TB,2012,2012-8-21,,0m,Chrysophyta,Gonyostomum semen,50,42.398173,Gonyostomum,1,42.3462,42.3462,376931.0182,0.37693102,7111
598,TB,2012,2012-8-21,,0m,Chrysophyta,Mallomonas ,12,4.055061,Mallomonas,1,56.4616,56.4616,36050.5699,0.03605057,1180
599,TB,2012,2012-8-21,,0m,Chrysophyta,Uroglena ,6,0.1247,Uroglena,1,14.1154,14.1154,1108.6204,0.00110862,1631
