"sampledate.x","wtemp","o2","o2sat","cond","frlight","chlor.x","phaeo","ph","phair","alk","dic","tic","doc","toc","no3no2","no2","nh4","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","cl","so4","ca","mg","na","k","fe","mn","chlDate","chlor.y","datePlus1","dateMinus1","year4","daynum","avsnow","totice","whiteice","blueice","CBV.date","Genus.x","CellBioVol.x","bv.datePlus1","bv.dateMinus1","Genus.y","CellBioVol.y","PerBioVol"
2000-08-22,15.75,8.72,95.05,92.38,0.26,3.49,0.38,7.58,7.93,631.62,8.88,9.09,3.72,3.72,0.99,NA,25.42,245.23,287.42,6.78,10.28,2862.93,2668.26,2699.18,0.28,5.74,1.37,10.4,2.92,2.55,0.7,0.21,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-08-21,"TotalBiovolume",76589.00186,2000-08-22,2000-08-20,"TotalBiovolume",76589.00186,NA
2000-09-07,15.12,7.98,86.1,NA,0.23,2.18,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2000-09-06,1.1,2000-09-07,2000-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-09-19,14.53,8.24,88.23,NA,0.25,3.91,2.04,7.33,7.84,NA,9.01,9.1,3.88,3.75,1.38,NA,63,246.74,297.3,4.82,13.01,2670.76,2782.52,2834.02,0.21,NA,NA,NA,NA,NA,NA,0.29,0.04,2000-09-18,2.2,2000-09-19,2000-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-10-04,12.67,8.22,84.62,NA,0.21,4.67,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2000-10-03,2.9,2000-10-04,2000-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-10-18,10.83,8.43,82.44,NA,0.24,4.96,3.03,7.24,7.68,NA,9.26,9.34,3.81,3.83,3.38,NA,52.06,260.44,309.26,10.03,13.05,2750.32,3025.73,3049.88,0.21,NA,NA,NA,NA,NA,NA,0.35,0.04,2000-10-17,1.6,2000-10-18,2000-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-11-02,10.16,8.81,84.44,NA,0.21,4.01,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-01,3,2000-11-02,2000-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Actinastrum falcatus",0,0
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Aulacoseira",312.0629482,0.003259184
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Cyclostephanos",950.7757895,0.009929897
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Cryptomonad",6442.7682,0.067288233
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Naked Dinoflagellate",7003.540037,0.07314493
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Cyclotella",58942.959,0.615599912
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Dinobryon",5600.79,0.058494617
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Fragilaria",311.155,0.003249701
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Cf. Planktolyngabia",314.1592654,0.003281077
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Cf. Elakatothrix",2.597609,2.71e-05
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Cyanobacteria diachloros",698.15656,0.007291543
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Flagellated green",1396.31312,0.014583086
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Asterionella",6001.454248,0.062679152
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Segmented green",2503.002,0.026141338
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"Peanut",5269.0762,0.0550302
2000-11-17,7.12,9.93,87.06,93,0.16,5.48,1.39,7.32,7.9,656.62,9.01,9.05,3.38,3.39,3.89,NA,42.86,227.77,267.12,3.38,10.24,2814.44,2868.35,2916.13,0.09,5.95,2.22,10.4,2.95,2.62,0.72,0.07,0.02,2000-11-16,6,2000-11-17,2000-11-15,NA,NA,NA,NA,NA,NA,2000-11-16,"TotalBiovolume",95748.80998,2000-11-17,2000-11-15,"TotalBiovolume",95748.80998,NA
2001-01-22,3.11,9.81,77.35,NA,0.31,1.83,0.31,7.25,7.9,NA,9.42,9.6,3.46,3.5,10.9,NA,103.79,287.89,303.1,4.53,10.83,3016.19,2950.17,3085.86,0,NA,NA,NA,NA,NA,NA,0.06,0.06,2001-01-22,5.5,2001-01-23,2001-01-21,2001,22,20.7,32,10,22,NA,NA,NA,NA,NA,NA,NA,NA
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Microcystis",227.2649565,0.010688393
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Cryptomonad",1561.8832,0.073456209
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Euglena",7392.788,0.347686804
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"unID Cocconeis",152.6421331,0.007178842
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Asterionella",3819.107249,0.179614672
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Segmented green",375.4503,0.01765763
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Peanut",7733.6441,0.36371745
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,1.9,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"TotalBiovolume",21262.77994,NA
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Microcystis",227.2649565,0.010688393
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Cryptomonad",1561.8832,0.073456209
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Euglena",7392.788,0.347686804
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"unID Cocconeis",152.6421331,0.007178842
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Asterionella",3819.107249,0.179614672
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Segmented green",375.4503,0.01765763
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"Peanut",7733.6441,0.36371745
2001-02-28,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001-02-28,2.2,2001-03-01,2001-02-27,2001,59,15.7,44,23,21,2001-02-28,"TotalBiovolume",21262.77994,2001-03-01,2001-02-27,"TotalBiovolume",21262.77994,NA
2001-04-03,3.44,9.14,72.56,NA,0.29,2.16,0.27,7.1,7.94,NA,9.62,9.57,3.32,3.25,72.37,NA,48,288.89,316.84,6.09,16.42,3139.19,3212.93,3301.12,0,NA,NA,NA,NA,NA,NA,0.1,0.03,2001-04-03,3,2001-04-04,2001-04-02,2001,93,2.2,45,32,13,NA,NA,NA,NA,NA,NA,NA,NA
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Coleosphaerum",0,0
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Navicula",373.2096618,0.013136492
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Microcystis",22.0952041,0.000777722
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Cryptomonad",9371.2992,0.329857487
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Naked Dinoflagellate",14007.08007,0.493030916
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Small Cocconeis",457.9263993,0.016118411
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Dinobryon",2068.174,0.072797022
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Fragilaria",311.155,0.010952249
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Flagellated green",87.26957,0.003071775
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Segmented green",1626.9513,0.05726656
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Peanut",84.9851,0.002991364
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,14.3,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"TotalBiovolume",28410.14551,NA
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Coleosphaerum",0,0
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Navicula",373.2096618,0.013136492
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Microcystis",22.0952041,0.000777722
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Cryptomonad",9371.2992,0.329857487
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Naked Dinoflagellate",14007.08007,0.493030916
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Small Cocconeis",457.9263993,0.016118411
2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001-04-30,11,2001-05-01,2001-04-29,NA,NA,NA,NA,NA,NA,2001-04-30,"TotalBiovolume",28410.14551,2001-05-01,2001-04-29,"Dinobryon",2068.174,0.072797022
